=== LIB SWEEP (--skip reconstruct::) ===
    Finished `test` profile [unoptimized + debuginfo] target(s) in 0.95s
     Running unittests src/lib.rs (/data0/axeyum/dt-field-expansion-target-check/debug/deps/axeyum_solver-acf47eaa496561d6)
test abv::tests::lazy_ext_scalar_candidate_reports_followup_or_closure_loop ... ok
test abv::tests::lazy_ext_select_repair_beam_composes_followup_or_repair ... ok
test abv::tests::lazy_ext_scalar_repair_updates_select_backed_symbol ... ok
test abv::tests::lazy_ext_scalar_candidate_reports_followup_two_or_cycle ... ok
test abv::tests::lazy_ext_targeted_replay_repairs_select_through_store_chain ... ok
test abv::tests::lazy_ext_targeted_replay_repairs_order_guarded_branch_choice ... ok
test abv::tests::lazy_ext_targeted_replay_repairs_select_backed_scalar_failure ... ok
test alethe_lra::tests::emits_checkable_lia_refutation ... ok
test abv::tests::lazy_ext_scalar_closure_guard_rejects_returned_or_loop ... ok
test abv::tests::lazy_ext_scalar_repair_stabilizes_returned_array_or ... ok
test abv::tests::lazy_ext_targeted_replay_can_choose_non_best_repairable_branch ... ok
test abv::tests::lazy_ext_scalar_candidate_reports_returned_or_stabilization ... ok
test abv::tests::structural_projection_honors_an_expired_deadline ... ok
test abv::tests::lazy_ext_targeted_replay_repairs_single_store_branch_literal ... ok
test abv::tests::store_chain_readback_certificate_rechecks_ios_np_sf ... ok
test alethe_lra::tests::lia_generic_accepts_opaque_integer_app_tautology ... ok
test alethe_lra::tests::no_lia_proof_for_satisfiable ... ok
test alethe_lra::tests::unknown_rule_still_unsupported ... ok
test abv::tests::symmetric_swap_chain_refuter_closes_cvc5_regression ... ok
test alethe_lra::tests::la_generic_rejects_nonlinear_literal ... ok
test alethe_lra::tests::lia_generic_rejects_non_tautology ... ok
test abv::tests::lazy_ext_replay_failure_reports_residual_followup_or_diagnostic ... ok
test array_axiom::tests::a_degenerate_certificate_is_recognized_as_carrying_nothing ... ok
test array_axiom::tests::does_not_refute_uncovered_same_value_store_chains ... ok
test array_axiom::tests::corpus_array_axiom_certificates_are_measured_against_both_stages ... ok
test array_axiom::tests::recognizes_btor_array_ite_read_congruence_regression ... ok
test alethe_lra::tests::emits_checkable_lra_refutation_with_coefficients ... ok
test alethe_lra::tests::lia_generic_accepts_integer_only_tautology ... ok
test alethe_lra::tests::emits_checkable_lra_refutation ... ok
test array_axiom::tests::recognizes_btor_array_ite_branch_exhaustion_regression ... ok
test alethe_lra::tests::no_proof_for_satisfiable_lra ... ok
test alethe_lra::tests::la_generic_end_to_end_refutation ... ok
test alethe_lra::tests::la_generic_accepts_a_valid_arithmetic_tautology ... ok
test array_axiom::tests::does_not_refute_zero_offset_row_regression ... ok
test alethe_lra::tests::la_generic_rejects_a_non_tautology ... ok
test array_axiom::tests::recognizes_btor_store_same_cell_injectivity_regression ... ok
test array_axiom::tests::recognizes_btor_equal_store_chain_readback_regressions ... ok
test array_axiom::tests::recognizes_btor_nonzero_offset_row_regressions ... ok
test array_axiom::tests::recognizes_btor_conditional_select_regressions ... ok
test array_axiom::tests::recognizes_btor_concat_suffix_row_regression ... ok
test array_axiom::tests::recognizes_btor_store_shadowing_regressions ... ok
test array_axiom::tests::recognizes_btor_finite_extensionality_bit_regressions ... ok
test array_axiom::tests::recognizes_btor_store_self_update_read_regression ... ok
test array_axiom::tests::recognizes_btor_contextual_false_bv1_regressions ... ok
test array_axiom::tests::recognizes_btor_bv1_order_extensionality_regressions ... ok
test array_axiom::tests::recognizes_btor_contextual_ite_branch_regressions ... ok
test array_axiom::tests::recognizes_btor_read_congruence_regressions ... ok
test array_axiom::tests::recognizes_bv1_encoded_read_over_write_same_index ... ok
test array_axiom::tests::recognizes_cvc5_same_cell_store_bv_range_regressions ... ok
test array_axiom::tests::recognizes_bv1_encoded_constant_distinct_store_chain_read ... ok
test array_axiom::tests::recognizes_btor_finite_store_row_extensionality_regressions ... ok
test array_axiom::tests::recognizes_btor_guarded_write_regressions ... ok
test alethe_lra::tests::emits_checkable_congruence_free_uflia_refutation ... ok
test array_axiom::tests::recognizes_mccarthy_read_over_write ... ok
test array_binary_search::tests::finite_binary_search_theorem_covers_all_equal_blocks ... ok
test array_axiom::tests::recognizes_cvc5_same_value_store_chain_coverage_regression ... ok
test array_axiom::tests::recognizes_cvc5_signed_bv1_read_congruence_regression ... ok
test array_axiom::tests::recognizes_cvc5_store_restore_noop_regression ... ok
test array_axiom::tests::recognizes_false_implication_read_congruence ... ok
test array_axiom::tests::recognizes_select_over_array_ite ... ok
test array_finite::tests::refutes_bool_index_read_collapse_disequality ... ok
test array_axiom::tests::the_route_declines_rather_than_certifying_a_self_negating_proposition ... ok
test array_finite::tests::bool_index_read_collapse_needs_same_array ... ok
test array_finite::tests::declines_when_one_finite_index_is_missing ... ok
test array_sort2::tests::refutes_two_element_selection_sort_regression ... ok
test array_axiom::tests::recognizes_store_over_ite_under_select ... ok
test array_write_chain::tests::refutes_aligned_write_chain_commutation_regression ... ok
test array_memcpy::tests::refutes_two_byte_memcpy_regression ... ok
test array_finite::tests::refutes_two_arrays_equal_at_all_one_bit_indices_and_disequal ... ok
test array_sort2::tests::refutes_two_element_bubble_sort_regression ... ok
test array_fifo::tests::finite_fifo_equivalence_theorem_holds ... ok
test array_xor_swap::tests::refutes_two_cell_xor_swap_regression ... ok
test auto::tests::a_query_with_a_wide_literal_declines_rather_than_panicking ... ok
test auto::tests::a_one_directional_quantified_rungs_unknown_never_terminates_the_ladder ... ok
test auto::tests::abv_online_probe_keeps_all_but_the_array_ladder_reserve ... ok
test auto::tests::an_empty_construct_set_renders_as_none_and_not_as_nothing ... ok
test auto::tests::a_slice_that_rounds_to_zero_is_never_the_whole_budget ... ok
test auto::tests::a_literal_no_width_can_hold_still_leaves_one_rung ... ok
test auto::tests::an_owning_deciders_refusal_is_reported_and_a_declining_routes_is_not ... ok
test auto::tests::array_extensionality_conflict_is_unsat_via_congruence ... ok
test auto::tests::aufbv_online_probe_isolated_from_caller_arena ... ok
test auto::tests::bool_skeleton_abstracts_nothing_without_quantifiers_and_shares_by_identity ... ok
test auto::tests::an_owning_quant_deciders_refusal_is_reported_and_a_one_directional_rungs_is_not ... ok
test auto::tests::abv_online_probe_isolated_from_caller_arena ... ok
test auto::tests::bool_skeleton_declines_a_query_it_abstracted_nothing_in ... ok
test auto::tests::bool_skeleton_abstracts_only_the_outermost_quantifier ... ok
test array_xor_swap::tests::refutes_two_byte_xor_swap_roundtrip_regression ... ok
test auto::tests::bounded_product_no_factorization_is_unsat ... ok
test auto::tests::bounded_product_with_factorization_is_sat ... ok
test auto::tests::bool_skeleton_does_not_refute_a_satisfiable_skeleton ... ok
test auto::tests::bool_skeleton_refutes_where_dropping_quantified_conjuncts_cannot ... ok
test auto::tests::bounded_nonlinear_square_no_root_is_unsat ... ok
test auto::tests::construct_set_every_is_the_fold_of_every_class ... ok
test auto::tests::check_auto_uses_term_identity_refuter_before_theory_routes ... ok
test array_fifo::tests::refutes_fifo32bc04k05_regression ... ok
test auto::tests::cap_overflowing_skolemized_chain_is_refuted_via_the_egraph_loop ... ok
test auto::tests::derived_order_matches_the_committed_ledger_derivation ... ok
test auto::tests::difference_logic_probe_preserves_the_fallback_slice ... ok
test auto::tests::disjunctive_branch_sat_model_replays_original_query ... ok
test array_bv_abs::tests::abstraction_declines_when_the_visit_budget_is_exhausted ... ok
test auto::tests::disjunctive_value_set_composes_with_derived_bound ... ok
test array_fifo::tests::models_fifo32ia04k05_regression ... ok
test auto::tests::disjunctive_value_set_square_no_root_is_unsat ... ok
test auto::tests::disjunctive_value_set_with_solution_is_sat ... ok
test auto::tests::every_construct_class_appears_in_the_ledger_rendering ... ok
test array_binary_search::tests::refutes_binarysearch32s016_regression ... ok
test auto::tests::every_dispatch_label_is_outside_the_declared_route_enum ... ok
test auto::tests::every_declared_quantified_rung_has_an_ownership_declaration ... ok
test auto::tests::every_declared_route_is_in_all_and_has_a_distinct_label ... ok
test auto::tests::every_features_flag_is_a_construct_class_or_is_named_as_an_exception ... ok
test auto::tests::extended_difference_logic_probe_retains_a_nonzero_fallback_slice ... ok
test auto::tests::fold_to_real_still_collapses_coerced_sums ... ok
test array_bv_abs::tests::refutes_rw213_by_bv_abstraction ... ok
test auto::tests::hand_order_deadline_checks_are_where_they_were ... ok
test auto::tests::int_tail_labels_are_the_committed_trail_vocabulary ... ok
test auto::tests::interval_of_bv2nat_is_structural_zero_to_two_pow_w ... ok
test array_bv_abs::tests::fp_misc_abstraction_walk_visits_each_term_at_most_once ... ok
test auto::tests::int_mod_by_nonzero_constant_can_still_be_refuted ... ok
test auto::tests::every_order_runs_every_rung_exactly_once ... ok
test auto::tests::ite_lifting_is_collision_free_across_repeated_mixed_sort_slices ... ok
test auto::tests::every_route_budget_in_this_file_goes_through_the_slice_policy ... ok
test auto::tests::lia_budget_unknown_annotation_reports_skipped_uf_context ... ok
test auto::tests::ladder_order_lever_spelling ... ok
test auto::tests::lin_form_expands_a_shared_dag_once_per_node ... ok
test auto::tests::ladder_slice_arithmetic_matches_the_policy_each_route_declares ... ok
test auto::tests::linear_unsat_unchanged ... ok
test auto::tests::mbqi_free_int_value_pool_is_complete_neighbor_closed_or_declines ... ok
test auto::tests::mbqi_candidate_config_honors_expired_shared_deadline ... ok
test auto::tests::mbqi_free_int_symbol_policy_uses_exact_source_and_excludes_binders ... ok
test auto::tests::mbqi_loop_entry_flag_is_false_when_a_shape_guard_diverts ... ok
test auto::tests::mbqi_evaluated_value_pool_uses_uf_results_and_ground_source_only ... ok
test auto::tests::mbqi_loop_note_fires_only_when_the_loop_did_not_run ... ok
test auto::tests::mbqi_loop_note_is_a_suffix_and_leaves_the_census_prefix_intact ... ok
test auto::tests::mbqi_one_level_fixed_retry_never_transfers_non_sat_result ... ok
test auto::tests::mbqi_profile_completion_caps_instances_and_never_transfers_unsat ... ok
test auto::tests::mixed_disjunction_does_not_falsely_bound ... ok
test auto::tests::mbqi_profile_completion_is_outer_only_and_deadline_bound ... ok
test auto::tests::a_narrow_width_cannot_manufacture_an_unsat ... ok
test auto::tests::no_quantified_rung_owns_a_class_nobody_owns ... ok
test auto::tests::no_route_claims_a_construct_its_own_gate_excludes ... ok
test auto::tests::no_square_mod_with_derived_t_bound_is_unsat ... ok
test auto::tests::note_sort_sees_a_leaf_that_only_exists_under_a_nesting_level ... ok
test auto::tests::overbound_cegar_probe_keeps_all_but_the_ladder_reserve ... ok
test auto::tests::negated_quantified_implication_near_miss_is_not_refuted ... ok
test auto::tests::overbound_integer_uf_arith_skips_generic_lia_dpll_for_uf_routes ... ok
test auto::tests::overbound_policy_defaults_to_the_probe_arm ... ok
test auto::tests::overbound_policy_guard_overrides_and_restores ... ok
test array_axiom::tests::recognizes_btor_bv1_array_ite_all_true_regressions ... ok
test auto::tests::arithmetic_uf_overbound_pre_lia_probe_decides_on_clone ... ok
test auto::tests::negated_disjunction_does_not_falsely_bound ... ok
test abv::tests::lazy_abv_matches_eager_differential ... ok
test auto::tests::propagate_linear_bounds_derives_upper_from_sum_constraint ... ok
test auto::tests::propagate_linear_bounds_negative_coeff_sign_is_correct ... ok
test auto::tests::prove_int_box_covers_iand_sum_bounded_query ... ok
test auto::tests::qinst_egraph_retry_share_parses_to_the_shipped_default_on_anything_unrecognised ... ok
test auto::tests::qinst_egraph_retry_slice_is_the_shipped_half_by_default_and_the_whole_clock_at_one ... ok
test auto::tests::quant_egraph_budget_leaves_an_unbounded_config_unbounded ... ok
test auto::tests::quant_egraph_budget_is_unchanged_by_default_and_reserved_under_a_policy ... ok
test auto::tests::quant_egraph_reserve_parses_to_the_shipped_default_unless_told_otherwise ... ok
test auto::tests::quant_valid_universal_budget_leaves_an_unbounded_config_unbounded ... ok
test auto::tests::quant_valid_universal_budget_is_unchanged_by_default_and_reserved_under_a_policy ... ok
test auto::tests::quant_valid_universal_reserve_parses_to_the_shipped_default_unless_told_otherwise ... ok
test auto::tests::quantified_ground_subset_refutation_ignores_only_quantified_conjuncts ... ok
test auto::tests::solve_refutes_wide_bv_quantified_euf_via_keystone ... ok
test auto::tests::shared_let_chain_of_depth_40_is_decided ... ok
test auto::tests::the_admission_check_does_not_touch_narrow_queries ... ok
test auto::tests::the_armed_tail_only_appends_above_the_historical_width ... ok
test auto::tests::the_bool_skeleton_lever_is_on_unless_killed_exactly ... ok
test auto::tests::the_continuation_bound_applies_only_inside_a_quantified_ladder ... ok
test auto::tests::the_floor_is_the_width_of_the_largest_literal ... ok
test auto::tests::the_floor_removes_only_inadmissible_rungs ... ok
test auto::tests::the_ladder_hoist_carries_the_refusing_rungs_own_sentence ... ok
test auto::tests::the_ladder_hoist_is_off_unless_spelled_exactly ... ok
test auto::tests::the_ladder_hoist_premise_no_width_dependence ... ok
test auto::tests::the_ladder_is_strictly_increasing_armed_or_not ... ok
test auto::tests::the_ledger_rendering_is_in_authority_order_whatever_order_it_was_built_in ... ok
test auto::tests::the_ledger_rendering_uses_the_pipe_separator_and_no_braces ... ok
test auto::tests::the_ownership_continuation_share_lever_fails_closed ... ok
test auto::tests::the_ownership_rule_decides_each_cell_of_its_own_table ... ok
test auto::tests::the_qf_handoffs_own_exactly_what_the_qf_ladder_owns ... ok
test auto::tests::the_route_labels_are_the_committed_trail_vocabulary ... ok
test auto::tests::the_shipped_ladder_has_no_escalation_rung ... ok
test auto::tests::overbound_terminal_policy_still_answers_for_the_whole_dispatcher ... ok
test auto::tests::the_tail_is_clamped_to_what_the_blaster_accepts ... ok
test auto::tests::wide_int_admission_fires_only_on_a_wide_integer_constant ... ok
test auto::uf_overbound_live_tests::a_recording_reaches_the_board_before_the_guard_drops ... ok
test auto::uf_overbound_live_tests::recording_without_a_board_publishes_nothing ... ok
test bitblast_alethe::tests::binary_and_step_is_per_bit_gadget ... ok
test bitblast_alethe::tests::bitblast_add_width2_bits_match_ripple_carry ... ok
test bitblast_alethe::tests::bitblast_comp_wraps_the_and_in_bbterm ... ok
test bitblast_alethe::tests::bitblast_equal_is_per_bit_and ... ok
test bitblast_alethe::tests::bool_equality_is_not_a_bitblast_equal ... ok
test bitblast_alethe::tests::concat_step_puts_low_operand_bits_first ... ok
test bitblast_alethe::tests::const_step_emits_true_false_bits ... ok
test bitblast_alethe::tests::extract_step_projects_the_requested_bit_range ... ok
test bitblast_alethe::tests::nary_xor_nests_left_to_right ... ok
test bitblast_alethe::tests::shift_is_still_outside_the_covered_set ... ok
test bitblast_alethe::tests::sign_extend_repeats_the_sign_bit ... ok
test bitblast_alethe::tests::var_step_has_bit_of_projections ... ok
test bitblast_alethe::tests::width1_mult_is_a_single_and_gadget ... ok
test bitblast_miter::end_to_end_recheck::bounded_end_to_end_unsat_reuses_one_future_deadline ... ok
test bitblast_miter::end_to_end_recheck::certified_end_to_end_unsat_rechecks_independently ... ok
test bitblast_miter::end_to_end_recheck::expired_end_to_end_deadline_never_fabricates_a_result ... ok
test bitblast_miter::end_to_end_recheck::satisfiable_query_is_not_a_certified_unsat ... ok
test auto::tests::negated_quantified_implication_exposes_counterexample_witness ... ok
test bitblast_miter::reference_grounding::reference_ite_matches_the_evaluator_exhaustively ... ok
test bmc::tests::certified_k_induction_emits_checkable_proofs ... ok
test bitblast_miter::reference_grounding::reference_gadgets_match_the_evaluator_exhaustively ... ok
test bmc::tests::certified_k_induction_is_honestly_inconclusive ... ok
test bmc::tests::certified_k_induction_surfaces_counterexample_for_unsafe ... ok
test bmc::tests::deeper_bound_eventually_reaches_a_wrapping_target ... ok
test auto::tests::overbound_ladder_is_reachable_when_the_cegar_is_skipped ... ok
test bmc::tests::k_induction_is_honestly_inconclusive_not_wrongly_safe ... ok
test bmc::tests::k_induction_returns_counterexample_for_unsafe_property ... ok
test bmc::tests::k_induction_proves_unbounded_safety ... ok
test auto::tests::collect_top_conjuncts_survives_a_deep_and_spine ... ok
test bmc::tests::memory_k_induction_proves_inductive_array_property ... ok
test bmc::tests::reachable_at_step_zero_when_init_is_bad ... ok
test bmc::tests::reachable_counter_finds_shallowest_depth ... ok
test bmc::tests::unreachable_within_bound_is_honest_and_bounded ... ok
test bmc::tests::unsupported_uf_transition_is_unknown_not_error ... ok
test auto::tests::top_level_negated_universal_exposes_counterexample_witness ... ok
test bool_euf::tests::recognizes_cnf_disjunction_congruence ... ok
test bool_euf::tests::recognizes_ite_congruence ... ok
test bool_euf::tests::online_refutes_overbound_cnf_abc ... ok
test bool_euf::tests::recognizes_negated_implication_congruence ... ok
test bool_euf::tests::rejects_satisfiable_uf_disequality ... ok
test bool_euf::tests::rejects_mixed_arithmetic_bug303_shape ... ok
test bool_simplify::tests::recognizes_cross_assertion_negated_conjunction ... ok
test bool_simplify::tests::recognizes_issue3970_purified_distinct_contradiction ... ok
test bool_simplify::tests::recognizes_negated_complement_tautology ... ok
test bool_simplify::tests::recognizes_reflexive_disequality_inside_conjunction ... ok
test bool_simplify::tests::recognizes_negated_quantifier_negation_duality ... ok
test bool_simplify::tests::rejects_bare_tautology_assertion ... ok
test bool_simplify::tests::refuses_every_near_miss_of_the_duality ... ok
test bv2nat_blast::tests::blasts_equality_against_in_range_constant ... ok
test bv2nat_blast::tests::declines_free_int_symbol ... ok
test auto::tests::fold_to_real_survives_a_deep_bv_chain ... ok
test bv2nat_blast::tests::declines_constant_only_atoms ... ok
test bv2nat_blast::tests::declines_int_div ... ok
test bv2nat_blast::tests::declines_nonlinear_product ... ok
test bv2nat_blast::tests::linear_combination_with_negative_coefficients_round_trips ... ok
test bv_defined_enum::tests::certifies_qf_fp_constant_infinity_chain ... ok
test bv_defined_enum::tests::certifies_qf_fp_constant_zero_chain ... ok
test bv_defined_enum::tests::declines_qf_fp_misc_without_certified_fpa2bv ... ok
test bv_forall_nonconstant::tests::recognizes_bvadd_universal_nonconstant ... ok
test bv_forall_nonconstant::tests::recognizes_guarded_bvudiv_dividend ... ok
test bv_forall_nonconstant::tests::rejects_unguarded_bvudiv_dividend ... ok
test array_axiom::tests::collect_top_conjuncts_survives_a_deep_and_spine ... ok
test bv_uf_local::tests::recognizes_qf_ufff_pure_bv_conflict_after_congruence_row ... ok
test cas_certificate::tests::binomial_square_expands_to_the_same_canonical_form ... ok
test bv_uf_local::tests::recognizes_qf_ufff_congruent_disequality_row ... ok
test cas_certificate::tests::bounds_are_read_in_both_orientations ... ok
test cas_certificate::tests::bitvector_terms_decline ... ok
test cas_certificate::tests::conjunct_collection_flattens_and_spines ... ok
test cas_certificate::tests::integer_division_is_an_opaque_atom ... ok
test cas_certificate::tests::near_miss_does_not_expand_to_the_same_form ... ok
test cas_certificate::tests::real_division_folds_only_for_nonzero_literals ... ok
test cas_poly::tests::a_query_without_a_disequality_has_no_candidate ... ok
test cas_poly::tests::an_opaque_quotient_equation_declines ... ok
test cas_poly::tests::binomial_square_disequality_is_refuted ... ok
test cas_poly::tests::even_constant_does_not_refute_an_even_product ... ok
test cas_poly::tests::near_miss_disequality_declines_with_a_reason ... ok
test cas_poly::tests::odd_constant_refutes_an_even_product ... ok
test cas_poly::tests::units_equation_at_the_bound_is_not_refuted ... ok
test cas_poly::tests::units_equation_is_refuted_by_a_divisor_bound ... ok
test cas_poly::tests::zero_product_with_an_unbounded_factor_is_not_refuted ... ok
test cas_poly::tests::zero_product_with_nonzero_factors_is_refuted ... ok
test cdclt::adr1701_tests::an_atom_registered_mid_search_participates_in_a_conflict ... ok
test cdclt::adr1701_tests::final_check_rejects_a_total_assignment_the_asserts_accepted ... ok
test cdclt::adr1701_tests::lazy_and_eager_explanations_agree_on_the_verdict ... ok
test cdclt::adr1701_tests::lazy_explanation_is_resolved_only_when_the_driver_needs_the_reason ... ok
test cdclt::adr1701_tests::propagation_queue_arrives_empty_and_is_drained_exactly_once ... ok
test cdclt::lazy_propagation_conflict_tests::a_lazy_propagation_that_conflicts_on_its_own_assert_still_decides ... ok
test cdclt::adr1701_tests::an_unresolvable_lazy_handle_degrades_to_unknown_not_to_a_verdict ... ok
test cdclt::termination_tests::inactive_theory_propagation_waits_for_activation ... ok
test cdclt::termination_tests::dynamic_theory_atom_after_boolean_auxiliary_maps_conflicts ... ok
test cdclt::termination_tests::luby_restarts_fire_without_changing_verdict_or_theory_balance ... ok
test cdclt::termination_tests::luby_sequence_matches_reluctant_doubling_prefix ... ok
test cdclt::termination_tests::minimization_never_drops_a_decision_or_the_asserting_literal ... ok
test auto::tests::overbound_counters_are_silent_without_a_guard ... ok
test auto::tests::every_policy_gives_the_same_verdict_on_an_overbound_query ... ok
test cdclt::termination_tests::permanent_clause_activates_reserved_variable_and_resumes_search ... ok
test cdclt::termination_tests::phase_saving_survives_backtracking_and_preserves_true_first_default ... ok
test cdclt::termination_tests::recursive_minimization_drops_a_covered_literal_and_keeps_an_uncovered_one ... ok
test cdclt::termination_tests::lbd_reduction_fires_and_matches_never_delete_baseline ... ok
test cdclt::termination_tests::repeated_same_conflict_does_not_livelock ... ok
test cdclt::termination_tests::reduction_protects_glue_and_locked_clauses ... ok
test cdclt::termination_tests::vsids_bumps_conflict_vars_and_reorders_decisions_deterministically ... ok
test cdclt::termination_tests::root_backtrack_retains_database_and_allows_resumed_insertion ... ok
test config_registry::tests::an_instrumented_gate_records_through_the_real_path ... ok
test combined_theory_lia::tests::large_combined_opaque_lia_defers_feasibility_to_propagation ... ok
test config_registry::tests::dated_justifications_are_well_formed ... ok
test config_registry::tests::dated_justifications_declare_a_basis ... ok
test cdclt::termination_tests::order_heap_matches_linear_scan_under_stress ... ok
test config_registry::tests::consulted_keys_are_registered ... ok
test auto::tests::int_mod_by_zero_underspecification_is_not_refuted ... ok
test config_registry::tests::every_governing_constant_is_registered ... ok
test config_registry::tests::exemptions_are_real_and_disjoint ... ok
test config_registry::tests::recording_is_opt_in_and_restores ... ok
test config_registry::tests::registry_is_sorted_and_unique ... ok
test config_registry::tests::registry_len_matches_its_own_source ... ok
test config_registry::tests::the_dated_count_only_rises ... ok
test config_registry::tests::the_trace_line_reports_what_is_unmeasured ... ok
test config_registry::tests::every_silent_admission_bound_is_instrumented ... ok
test config_registry::tests::the_unattributed_backlog_only_shrinks ... ok
test config_registry::tests::trace_line_is_deterministic ... ok
test config_registry::tests::unsignalled_relaxations_name_their_guard ... ok
test config_registry::tests::uninstrumentable_bounds_are_outside_this_crate ... ok
test datatype_acyclicity::tests::congruence_derives_equality_then_disequality_is_unsat ... ok
test datatype_acyclicity::tests::constructor_coverage_over_selector_is_unsat ... ok
test datatype_acyclicity::tests::cycle_via_variable_equality_is_unsat ... ok
test datatype_acyclicity::tests::diamond_sharing_is_not_a_cycle ... ok
test datatype_acyclicity::tests::direct_self_cycle_is_unsat ... ok
test datatype_acyclicity::tests::distinct_constructors_on_one_value_is_unsat ... ok
test datatype_acyclicity::tests::finite_list_with_distinct_tails_is_not_refuted ... ok
test datatype_acyclicity::tests::injectivity_over_datatype_field_is_unsat ... ok
test datatype_acyclicity::tests::one_constructor_exclusion_is_not_refuted ... ok
test datatype_acyclicity::tests::or_of_structurally_unsat_branches_is_unsat ... ok
test datatype_acyclicity::tests::or_with_one_non_refuted_branch_is_not_refuted ... ok
test datatype_acyclicity::tests::positive_and_negative_tester_conflict_is_unsat ... ok
test datatype_acyclicity::tests::two_step_cycle_through_alias_is_unsat ... ok
test datatype_native::nested_field_tests::exactness_at_depth_zero_is_the_pre_adr_2128_predicate ... ok
test datatype_native::nested_field_tests::exactness_widens_with_the_budget_and_never_for_a_cycle ... ok
test datatype_native::nested_field_tests::the_cycle_detector_follows_a_mutual_cycle ... ok
test datatype_native::nested_field_tests::the_cycle_detector_separates_the_two_shapes ... ok
test datatype_native::nested_field_tests::the_cyclic_guard_builds_no_children_for_a_cyclic_datatype ... ok
test datatype_native::nested_field_tests::the_cyclic_guard_is_not_vacuous_on_an_acyclic_datatype ... ok
test datatype_native::nested_field_tests::the_lever_off_materialises_nothing ... ok
test datatype_native::nested_field_tests::the_lever_parses_to_off_on_anything_unparseable ... ok
test dl_online::tests::a_satisfiable_difference_logic_query_carries_no_trust_step ... ok
