file	esc_verdict_150s	esc_giveup
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_NIA/20170427-VeryMax/ITS/From_T2__ex36.t2__p28763_safety_0.smt2	sat	(none)
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_NIA/20170427-VeryMax/ITS/From_T2__ex36.t2__p29986_safety_0.smt2	unsat	(none)
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_NIA/20170427-VeryMax/ITS/From_T2__s1-striped.t2_fixed__p11698_safety_0.smt2	unknown	kind=Incomplete detail=bounded integer model overflowed at width 64 (assertion #439 is false over exact semantics); widen the bound
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_NIA/20170427-VeryMax/ITS/From_T2__s1.t2__p18409_safety_0.smt2	unknown	kind=Incomplete detail=bounded integer model overflowed at width 64 (assertion #508 is false over exact semantics); widen the bound
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_NIA/20170427-VeryMax/ITS/From_T2__small01.t2__p23469_terminationG_0.smt2	unknown	kind=Incomplete detail=bounded integer model overflowed at width 64 (assertion #557 is false over exact semantics); widen the bound
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_NIA/20170427-VeryMax/ITS/From_T2__small17.t2__p23845_edge_closing_0.smt2	unknown	kind=Incomplete detail=bounded integer model overflowed at width 64 (assertion #321 is false over exact semantics); widen the bound
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_NIA/20170427-VeryMax/ITS/From_T2__ud.t2__term_unfeasibility_1_0.smt2	unknown	kind=EncodingBudget detail=estimated 83206638 CNF clauses before lowering exceeds budget 64000000 (oversized encoding refused gracefully)
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_NIA/20210219-Dartagnan/ReachSafety-Loops/geo1-u_valuebound2-O0.smt2	unknown	kind=Incomplete detail=no model within the bounded integer width 64; widen the bound
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_NIA/20210219-Dartagnan/ReachSafety-Loops/ps2-ll_unwindbound50-O0.smt2	unknown	kind=Incomplete detail=no model within the bounded integer width 64; widen the bound
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_NIA/20230328-sqrtmodinv-hoenicke/sqrtStep6a.smt2	unknown	kind=Incomplete detail=integer constant 855285730872204993313810429440 does not fit the bounded width 64; widen the bound
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_NIA/AProVE/aproveSMT4687047739446499948.smt2	unknown	kind=Incomplete detail=bounded integer model overflowed at width 64 (assertion #620 is false over exact semantics); widen the bound
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_NIA/AProVE/aproveSMT5048239408100334127.smt2	unknown	kind=EncodingBudget detail=estimated 68413971 CNF clauses before lowering exceeds budget 64000000 (oversized encoding refused gracefully)
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_NIA/AProVE/aproveSMT7795667227375240089.smt2	unknown	kind=Incomplete detail=bounded integer model overflowed at width 64 (assertion #323 is false over exact semantics); widen the bound
