file	order	a_verdict	a_s	a_rc	a_giveup	b_verdict	b_s	b_rc	b_giveup
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_NIA/20170427-VeryMax/ITS/From_AProVE_2014__LessLeaves.jar-obl-10__p10018_edge_closing_0.smt2	ba	unknown	24.2	0	kind=Timeout detail=preprocessed dispatch timeout after reduced solve; the reduced solve's own reason was [ResourceLimit] integer bit-blast width ladder: wall-clock timeout reached	sat	23.9	0	none
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_NIA/20170427-VeryMax/ITS/From_AProVE_2014__MainDelete.jar-obl-10__p10430_safety_0.smt2	ab	unknown	24.1	0	kind=Incomplete detail=bounded integer model overflowed at width 32 (assertion #784 is false over exact semantics); widen the bound	unknown	24.2	0	kind=Timeout detail=preprocessed dispatch timeout after reduced solve; the reduced solve's own reason was [ResourceLimit] integer bit-blast width ladder: wall-clock timeout reached
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_NIA/20170427-VeryMax/ITS/From_AProVE_2014__Matrix.jar-obl-16__p10854_edge_closing_0.smt2	ba	unknown	24.5	0	kind=Timeout detail=preprocessed dispatch timeout after reduced solve; the reduced solve's own reason was [ResourceLimit] integer bit-blast width ladder: wall-clock timeout reached	unknown	24.6	0	kind=Timeout detail=preprocessed dispatch timeout after reduced solve; the reduced solve's own reason was [ResourceLimit] integer bit-blast width ladder: wall-clock timeout reached
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_NIA/20170427-VeryMax/ITS/From_AProVE_2014__NO_12.jar-obl-8__p11373_terminationG_0.smt2	ab	unknown	24.2	0	kind=Timeout detail=preprocessed dispatch timeout after reduced solve; the reduced solve's own reason was [Timeout] combined-theory timeout after scalar backend	unknown	24.5	0	kind=Timeout detail=preprocessed dispatch timeout after reduced solve; the reduced solve's own reason was [ResourceLimit] integer bit-blast width ladder: wall-clock timeout reached
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_NIA/20170427-VeryMax/ITS/From_AProVE_2014__RandomHard.jar-obl-10__p11834_safety_0.smt2	ba	unknown	24.5	0	kind=Timeout detail=preprocessed dispatch timeout after reduced solve; the reduced solve's own reason was [ResourceLimit] integer bit-blast width ladder: wall-clock timeout reached	sat	14.3	0	none
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_NIA/20170427-VeryMax/ITS/From_AProVE_2014__SortCount.jar-obl-10__terminationS_2_0.smt2	ab	unknown	11.1	0	kind=EncodingBudget detail=estimated 150732237 CNF clauses before lowering exceeds budget 64000000 (oversized encoding refused gracefully)	unknown	11.0	0	kind=EncodingBudget detail=estimated 151163361 CNF clauses before lowering exceeds budget 64000000 (oversized encoding refused gracefully)
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_NIA/20170427-VeryMax/ITS/From_AProVE_2014__Test13Loops.jar-obl-10__p12737_edge_closing_0.smt2	ba	unknown	25.1	0	kind=Watchdog detail=watchdog fired before the worker thread returned	sat	10.9	0	none
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_NIA/20170427-VeryMax/ITS/From_AProVE_2014__Test6.jar-obl-13__terminationS_36_0.smt2	ab	unknown	24.4	0	kind=Timeout detail=preprocessed dispatch timeout after reduced solve; the reduced solve's own reason was [ResourceLimit] integer bit-blast width ladder: wall-clock timeout reached	unknown	24.2	0	kind=Timeout detail=preprocessed dispatch timeout after reduced solve; the reduced solve's own reason was [ResourceLimit] integer bit-blast width ladder: wall-clock timeout reached
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_NIA/20170427-VeryMax/ITS/From_AProVE_2014__Velroyen08-complInterv3.jar-obl-8__p13362_terminationG_0.smt2	ba	unknown	24.2	0	kind=Incomplete detail=bounded integer model overflowed at width 32 (assertion #288 is false over exact semantics); widen the bound	unknown	24.1	0	kind=Timeout detail=preprocessed dispatch timeout after reduced solve; the reduced solve's own reason was [ResourceLimit] integer bit-blast width ladder: wall-clock timeout reached
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_NIA/20170427-VeryMax/ITS/From_AProVE_2014__Velroyen08-factorial.jar-obl-8__p13829_terminationG_0.smt2	ab	unknown	24.2	0	kind=Timeout detail=preprocessed dispatch timeout after reduced solve; the reduced solve's own reason was [ResourceLimit] integer bit-blast width ladder: wall-clock timeout reached	unknown	24.5	0	kind=Timeout detail=preprocessed dispatch timeout after reduced solve; the reduced solve's own reason was [ResourceLimit] integer bit-blast width ladder: wall-clock timeout reached
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_NIA/20170427-VeryMax/ITS/From_AProVE_2014__Velroyen08-middle.jar-obl-8__p14206_terminationG_0.smt2	ba	unknown	25.1	0	kind=Watchdog detail=watchdog fired before the worker thread returned	sat	12.6	0	none
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_NIA/20170427-VeryMax/ITS/From_AProVE_2014__Velroyen08-upAndDownIneq.jar-obl-8__terminationS_1_0.smt2	ab	unknown	24.3	0	kind=Timeout detail=preprocessed dispatch timeout after reduced solve; the reduced solve's own reason was [Timeout] combined-theory timeout after scalar backend	unknown	24.2	0	kind=Timeout detail=preprocessed dispatch timeout after reduced solve; the reduced solve's own reason was [ResourceLimit] integer bit-blast width ladder: wall-clock timeout reached
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_NIA/20170427-VeryMax/ITS/From_AProVE_2014__cousot_rec.jar-obl-8__p28312_terminationG_0.smt2	ba	unknown	24.3	0	kind=Timeout detail=preprocessed dispatch timeout after reduced solve; the reduced solve's own reason was [ResourceLimit] integer bit-blast width ladder: wall-clock timeout reached	unknown	24.4	0	kind=Timeout detail=preprocessed dispatch timeout after reduced solve; the reduced solve's own reason was [ResourceLimit] integer bit-blast width ladder: wall-clock timeout reached
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_NIA/20170427-VeryMax/ITS/From_AProVE_2014__juHashMapCreate.jar-obl-10__p4414_safety_0.smt2	ab	unknown	12.9	0	kind=EncodingBudget detail=estimated 94183956 CNF clauses before lowering exceeds budget 64000000 (oversized encoding refused gracefully)	unknown	12.8	0	kind=EncodingBudget detail=estimated 94374738 CNF clauses before lowering exceeds budget 64000000 (oversized encoding refused gracefully)
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_NIA/20170427-VeryMax/ITS/From_AProVE_2014__juHashMapCreate.jar-obl-10__p4676_safety_0.smt2	ba	unknown	11.4	0	kind=EncodingBudget detail=estimated 145454991 CNF clauses before lowering exceeds budget 64000000 (oversized encoding refused gracefully)	unknown	11.3	0	kind=EncodingBudget detail=estimated 145765941 CNF clauses before lowering exceeds budget 64000000 (oversized encoding refused gracefully)
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_NIA/20170427-VeryMax/ITS/From_AProVE_2014__juHashMapCreate.jar-obl-10__p4943_safety_0.smt2	ab	unknown	11.2	0	kind=EncodingBudget detail=estimated 109820226 CNF clauses before lowering exceeds budget 64000000 (oversized encoding refused gracefully)	unknown	11.3	0	kind=EncodingBudget detail=estimated 110061315 CNF clauses before lowering exceeds budget 64000000 (oversized encoding refused gracefully)
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_NIA/20170427-VeryMax/ITS/From_AProVE_2014__juHashMapCreate.jar-obl-10__p5184_terminationG_0.smt2	ba	unknown	12.1	0	kind=EncodingBudget detail=estimated 450420525 CNF clauses before lowering exceeds budget 64000000 (oversized encoding refused gracefully)	unknown	12.5	0	kind=EncodingBudget detail=estimated 451565079 CNF clauses before lowering exceeds budget 64000000 (oversized encoding refused gracefully)
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_NIA/20170427-VeryMax/ITS/From_AProVE_2014__juHashMapCreateClear.jar-obl-11__p29879_safety_0.smt2	ab	unknown	11.4	0	kind=EncodingBudget detail=estimated 119558553 CNF clauses before lowering exceeds budget 64000000 (oversized encoding refused gracefully)	unknown	11.4	0	kind=EncodingBudget detail=estimated 119804652 CNF clauses before lowering exceeds budget 64000000 (oversized encoding refused gracefully)
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_NIA/20170427-VeryMax/ITS/From_AProVE_2014__juHashMapCreateClear.jar-obl-11__p30175_safety_0.smt2	ba	unknown	11.3	0	kind=EncodingBudget detail=estimated 122273001 CNF clauses before lowering exceeds budget 64000000 (oversized encoding refused gracefully)	unknown	11.3	0	kind=EncodingBudget detail=estimated 122535513 CNF clauses before lowering exceeds budget 64000000 (oversized encoding refused gracefully)
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_NIA/20170427-VeryMax/ITS/From_AProVE_2014__juHashMapCreateClear.jar-obl-11__p30440_safety_0.smt2	ab	unknown	11.4	0	kind=EncodingBudget detail=estimated 116357343 CNF clauses before lowering exceeds budget 64000000 (oversized encoding refused gracefully)	unknown	11.2	0	kind=EncodingBudget detail=estimated 116613759 CNF clauses before lowering exceeds budget 64000000 (oversized encoding refused gracefully)
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_NIA/20170427-VeryMax/ITS/From_AProVE_2014__juHashMapCreateClear.jar-obl-11__p30726_safety_0.smt2	ba	unknown	11.3	0	kind=EncodingBudget detail=estimated 114749562 CNF clauses before lowering exceeds budget 64000000 (oversized encoding refused gracefully)	unknown	11.3	0	kind=EncodingBudget detail=estimated 114994065 CNF clauses before lowering exceeds budget 64000000 (oversized encoding refused gracefully)
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_NIA/20170427-VeryMax/ITS/From_AProVE_2014__juHashMapCreateContainsKey.jar-obl-11__p30967_safety_0.smt2	ab	unknown	11.2	0	kind=EncodingBudget detail=estimated 171206739 CNF clauses before lowering exceeds budget 64000000 (oversized encoding refused gracefully)	unknown	11.4	0	kind=EncodingBudget detail=estimated 171585279 CNF clauses before lowering exceeds budget 64000000 (oversized encoding refused gracefully)
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_NIA/20170427-VeryMax/ITS/From_AProVE_2014__juHashMapCreateContainsKey.jar-obl-11__p31253_safety_0.smt2	ba	unknown	12.7	0	kind=EncodingBudget detail=estimated 105646605 CNF clauses before lowering exceeds budget 64000000 (oversized encoding refused gracefully)	unknown	12.6	0	kind=EncodingBudget detail=estimated 105875880 CNF clauses before lowering exceeds budget 64000000 (oversized encoding refused gracefully)
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_NIA/20170427-VeryMax/ITS/From_AProVE_2014__juHashMapCreateContainsKey.jar-obl-11__p31541_safety_0.smt2	ab	unknown	12.6	0	kind=EncodingBudget detail=estimated 81972837 CNF clauses before lowering exceeds budget 64000000 (oversized encoding refused gracefully)	unknown	12.0	0	kind=EncodingBudget detail=estimated 82137450 CNF clauses before lowering exceeds budget 64000000 (oversized encoding refused gracefully)
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_NIA/20170427-VeryMax/ITS/From_AProVE_2014__juHashMapCreateContainsKey.jar-obl-11__p31818_safety_0.smt2	ba	unknown	24.2	0	kind=EncodingBudget detail=estimated 81482280 CNF clauses before lowering exceeds budget 64000000 (oversized encoding refused gracefully)	unknown	24.1	0	kind=EncodingBudget detail=estimated 81656916 CNF clauses before lowering exceeds budget 64000000 (oversized encoding refused gracefully)
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_NIA/20170427-VeryMax/ITS/From_AProVE_2014__juHashMapCreateContainsValue.jar-obl-11__p32069_safety_0.smt2	ab	unknown	11.4	0	kind=EncodingBudget detail=estimated 267934755 CNF clauses before lowering exceeds budget 64000000 (oversized encoding refused gracefully)	unknown	11.5	0	kind=EncodingBudget detail=estimated 268545564 CNF clauses before lowering exceeds budget 64000000 (oversized encoding refused gracefully)
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_NIA/20170427-VeryMax/ITS/From_AProVE_2014__juHashMapCreateContainsValue.jar-obl-11__p32332_safety_0.smt2	ba	unknown	11.3	0	kind=EncodingBudget detail=estimated 126586314 CNF clauses before lowering exceeds budget 64000000 (oversized encoding refused gracefully)	unknown	11.2	0	kind=EncodingBudget detail=estimated 126860712 CNF clauses before lowering exceeds budget 64000000 (oversized encoding refused gracefully)
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_NIA/20170427-VeryMax/ITS/From_AProVE_2014__juHashMapCreateContainsValue.jar-obl-11__p32598_safety_0.smt2	ab	unknown	11.9	0	kind=EncodingBudget detail=estimated 286797975 CNF clauses before lowering exceeds budget 64000000 (oversized encoding refused gracefully)	unknown	11.8	0	kind=EncodingBudget detail=estimated 287465238 CNF clauses before lowering exceeds budget 64000000 (oversized encoding refused gracefully)
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_NIA/20170427-VeryMax/ITS/From_AProVE_2014__juHashMapCreateContainsValue.jar-obl-11__p420_safety_0.smt2	ba	unknown	11.2	0	kind=EncodingBudget detail=estimated 129912477 CNF clauses before lowering exceeds budget 64000000 (oversized encoding refused gracefully)	unknown	11.3	0	kind=EncodingBudget detail=estimated 130191180 CNF clauses before lowering exceeds budget 64000000 (oversized encoding refused gracefully)
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_NIA/20170427-VeryMax/ITS/From_AProVE_2014__juHashMapCreateIsEmpty.jar-obl-10__p1784_safety_0.smt2	ab	unknown	24.3	0	kind=EncodingBudget detail=estimated 74329095 CNF clauses before lowering exceeds budget 64000000 (oversized encoding refused gracefully)	unknown	24.1	0	kind=EncodingBudget detail=estimated 74481618 CNF clauses before lowering exceeds budget 64000000 (oversized encoding refused gracefully)
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_NIA/20170427-VeryMax/ITS/From_AProVE_2014__juHashMapCreateIsEmpty.jar-obl-10__p2235_terminationG_0.smt2	ba	unknown	13.5	0	kind=EncodingBudget detail=estimated 236225562 CNF clauses before lowering exceeds budget 64000000 (oversized encoding refused gracefully)	unknown	12.5	0	kind=EncodingBudget detail=estimated 236826078 CNF clauses before lowering exceeds budget 64000000 (oversized encoding refused gracefully)
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_NIA/20170427-VeryMax/ITS/From_AProVE_2014__juHashMapCreateIsEmpty.jar-obl-10__p2587_safety_0.smt2	ab	unknown	11.3	0	kind=EncodingBudget detail=estimated 128318187 CNF clauses before lowering exceeds budget 64000000 (oversized encoding refused gracefully)	unknown	11.3	0	kind=EncodingBudget detail=estimated 128602908 CNF clauses before lowering exceeds budget 64000000 (oversized encoding refused gracefully)
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_NIA/20170427-VeryMax/ITS/From_AProVE_2014__juHashMapCreateIsEmpty.jar-obl-10__p2868_edge_closing_0.smt2	ba	unknown	25.1	0	kind=Watchdog detail=watchdog fired before the worker thread returned	unknown	25.1	0	kind=Watchdog detail=watchdog fired before the worker thread returned
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_NIA/20170427-VeryMax/ITS/From_AProVE_2014__juHashMapCreateIteratorEntryLoop.jar-obl-12__p3150_safety_0.smt2	ab	unknown	23.9	0	kind=EncodingBudget detail=estimated 75194781 CNF clauses before lowering exceeds budget 64000000 (oversized encoding refused gracefully)	unknown	24.1	0	kind=EncodingBudget detail=estimated 75355110 CNF clauses before lowering exceeds budget 64000000 (oversized encoding refused gracefully)
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_NIA/20170427-VeryMax/ITS/From_AProVE_2014__juHashMapCreatePut.jar-obl-10__p5428_safety_0.smt2	ba	unknown	11.2	0	kind=EncodingBudget detail=estimated 128928408 CNF clauses before lowering exceeds budget 64000000 (oversized encoding refused gracefully)	unknown	11.2	0	kind=EncodingBudget detail=estimated 129195378 CNF clauses before lowering exceeds budget 64000000 (oversized encoding refused gracefully)
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_NIA/20170427-VeryMax/ITS/From_AProVE_2014__juHashMapCreatePut.jar-obl-10__p5722_safety_0.smt2	ab	unknown	13.6	0	kind=EncodingBudget detail=estimated 111696312 CNF clauses before lowering exceeds budget 64000000 (oversized encoding refused gracefully)	unknown	13.8	0	kind=EncodingBudget detail=estimated 111943923 CNF clauses before lowering exceeds budget 64000000 (oversized encoding refused gracefully)
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_NIA/20170427-VeryMax/ITS/From_AProVE_2014__juHashMapCreatePut.jar-obl-10__p6041_safety_0.smt2	ba	unknown	24.9	0	kind=Timeout detail=preprocessed dispatch timeout after reduced solve; the reduced solve's own reason was [Timeout] combined-theory timeout after scalar backend	unknown	24.9	0	kind=Timeout detail=preprocessed dispatch timeout after reduced solve; the reduced solve's own reason was [Timeout] combined-theory timeout after scalar backend
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_NIA/20170427-VeryMax/ITS/From_AProVE_2014__juHashMapCreatePut.jar-obl-10__p6315_safety_0.smt2	ab	unknown	11.5	0	kind=EncodingBudget detail=estimated 133126536 CNF clauses before lowering exceeds budget 64000000 (oversized encoding refused gracefully)	unknown	11.3	0	kind=EncodingBudget detail=estimated 133417932 CNF clauses before lowering exceeds budget 64000000 (oversized encoding refused gracefully)
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_NIA/20170427-VeryMax/ITS/From_AProVE_2014__juHashMapCreateRemove.jar-obl-11__p6637_safety_0.smt2	ba	unknown	12.6	0	kind=EncodingBudget detail=estimated 94426554 CNF clauses before lowering exceeds budget 64000000 (oversized encoding refused gracefully)	unknown	12.7	0	kind=EncodingBudget detail=estimated 94622499 CNF clauses before lowering exceeds budget 64000000 (oversized encoding refused gracefully)
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_NIA/20170427-VeryMax/ITS/From_AProVE_2014__juHashMapCreateRemove.jar-obl-11__p6984_safety_0.smt2	ab	unknown	12.4	0	kind=EncodingBudget detail=estimated 82466889 CNF clauses before lowering exceeds budget 64000000 (oversized encoding refused gracefully)	unknown	12.4	0	kind=EncodingBudget detail=estimated 82637808 CNF clauses before lowering exceeds budget 64000000 (oversized encoding refused gracefully)
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_NIA/20170427-VeryMax/ITS/From_AProVE_2014__juHashMapCreateSize.jar-obl-10__p7265_safety_0.smt2	ba	unknown	11.2	0	kind=EncodingBudget detail=estimated 107475720 CNF clauses before lowering exceeds budget 64000000 (oversized encoding refused gracefully)	unknown	11.3	0	kind=EncodingBudget detail=estimated 107706189 CNF clauses before lowering exceeds budget 64000000 (oversized encoding refused gracefully)
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_NIA/20170427-VeryMax/ITS/From_AProVE_2014__juHashMapCreateSize.jar-obl-10__p7535_safety_0.smt2	ab	unknown	12.5	0	kind=EncodingBudget detail=estimated 99609969 CNF clauses before lowering exceeds budget 64000000 (oversized encoding refused gracefully)	unknown	12.2	0	kind=EncodingBudget detail=estimated 99823956 CNF clauses before lowering exceeds budget 64000000 (oversized encoding refused gracefully)
